# ENTITIES
entity_name,source_id,graph_data
Vodafone,chunk-a4e6bb17059b6ce78b33dddb496db9d2<SEP>chunk-a9ca0a66c298c31fec04cbfc30d7b98c,"{'entity_id': 'Vodafone', 'entity_type': 'organization', 'description': 'A telecommunications network that supports VoLTE (4G Calling) function.<SEP>Vodafone is a telecommunications company that offers various services such as mobile, broadband internet, and more.', 'source_id': 'chunk-a4e6bb17059b6ce78b33dddb496db9d2<SEP>chunk-a9ca0a66c298c31fec04cbfc30d7b98c', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Voice Assistant,chunk-dbdc3aa884ec77acb84402d00879691d<SEP>chunk-26891fa7fbcc5e292dab7ce65ee89518<SEP>chunk-128e66067604ae44825d98ba3ed45122,"{'entity_id': 'Voice Assistant', 'entity_type': 'category', 'description': 'A Voice Assistant is an AI-powered service that can respond to voice commands and perform tasks such as making calls, sending messages, or controlling smart home devices.<SEP>Enabling Voice Assistant requires access to Control section in Nothing X app or manual adjustment for additional features.<SEP>Uses speech recognition technology to help users execute various tasks through voice commands.', 'source_id': 'chunk-dbdc3aa884ec77acb84402d00879691d<SEP>chunk-26891fa7fbcc5e292dab7ce65ee89518<SEP>chunk-128e66067604ae44825d98ba3ed45122', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Voice assistant,chunk-c8e8ce97e9623a3206989beb9bb64519,"{'entity_id': 'Voice assistant', 'source_id': 'chunk-c8e8ce97e9623a3206989beb9bb64519', 'description': 'Support for integrating.', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Voice call icon,chunk-7c7e41b65ef7bcc80c8f1decc9bf2928,"{'entity_id': 'Voice call icon', 'entity_type': 'category', 'description': 'A graphical representation found in contact or dialer apps for initiating a voice call.', 'source_id': 'chunk-7c7e41b65ef7bcc80c8f1decc9bf2928', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Volume up button,chunk-8d629090523155bf0dd12f9021e8a28a,"{'entity_id': 'Volume up button', 'entity_type': 'category', 'description': 'The physical button on a mobile device used to adjust volume levels.', 'source_id': 'chunk-8d629090523155bf0dd12f9021e8a28a', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Volume+ button,chunk-281d19d9c4f252fd5c844c3d467ca398,"{'entity_id': 'Volume+ button', 'entity_type': 'hardware', 'description': 'Volume+ button is used in conjunction with power button for performing actions like toggling NFC mode.', 'source_id': 'chunk-281d19d9c4f252fd5c844c3d467ca398', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Wallpaper Customization Function,chunk-43c5f3a3b39a02f332e40eef921a1f87,"{'entity_id': 'Wallpaper Customization Function', 'source_id': 'chunk-43c5f3a3b39a02f332e40eef921a1f87', 'description': 'Customisation options in settings allow users to change wallpaper and accent colors for personalization of their device', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Warranty,chunk-a79d8dc4ced2f49b73dd01d066a09896,"{'entity_id': 'Warranty', 'entity_type': 'category', 'description': 'Warranty covers defects, malfunctions, or damages that occur under normal use.', 'source_id': 'chunk-a79d8dc4ced2f49b73dd01d066a09896', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Warranty Coverage,chunk-eb46e252d3a2a9cb08cfababdb615773,"{'entity_id': 'Warranty Coverage', 'entity_type': 'category', 'description': 'The protection offered by manufacturers on their products against defects, faults, or malfunctions for a specific period.', 'source_id': 'chunk-eb46e252d3a2a9cb08cfababdb615773', 'file_path': 'unknown_source', 'created_at': 1749262937}"
Warranty card,chunk-cecbf41a5540f78302f91235b833c7dd,"{'entity_id': 'Warranty card', 'entity_type': 'equipment', 'description': 'A document that serves as proof of purchase and includes a service warranty.', 'source_id': 'chunk-cecbf41a5540f78302f91235b833c7dd', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Watch Disconnect,chunk-762fda66ccc0b9dd4cae96c4b09a2422,"{'entity_id': 'Watch Disconnect', 'entity_type': 'issue', 'description': 'The problem related to the watch disconnecting from its application due to certain operating system mechanisms on Android phones.', 'source_id': 'chunk-762fda66ccc0b9dd4cae96c4b09a2422', 'file_path': 'unknown_source', 'created_at': 1749262935}"
Watch Pro,chunk-c923c17927fa4e291cc287467061e0cf<SEP>chunk-bf93869f27e0db181fc1e8abda02b165<SEP>chunk-6a6dc70b538423eed2a153e23decae4c<SEP>chunk-852b3a0efad903b6a432ebd5e7a404af<SEP>chunk-2813ffd84d05996e288b7ae91da38439<SEP>chunk-ea57d11556bf408a29dc7c7e37398cc2<SEP>chunk-72fc3cd998dfb0b37a7905d75bf2fea8<SEP>chunk-1937bef2f48d7dfa41b98235ae13df22<SEP>chunk-fde4d61094019d5f75532f5f5f817f6a<SEP>chunk-6d88ccae3cdc762688c1e8d90c4e68c4<SEP>chunk-a93494f099711f42904d9b1378c73449<SEP>chunk-a20228c525a0011e08b219ab5989855a<SEP>chunk-76cdae3356bcf4004a71c8e11a80f300,"{'entity_id': 'Watch Pro', 'entity_type': 'organization', 'description': 'The Watch Pro is an advanced smartwatch and wearable technology product specifically designed for monitoring health metrics such as heart rate, blood oxygen levels, and sleep tracking. This high-tech device enables users to perform a variety of functions including downloading apps, adjusting straps, viewing call history, software upgrades, measuring blood oxygen saturation, adjusting display settings, changing languages, controlling music, monitoring heart rate, managing phone calls, unpairing the watch, and troubleshooting issues related to performance or connectivity. It works in conjunction with the CMF Watch app for optimal performance.\n\nThe Watch Pro supports various features like turning it on/off during exercise, adjusting volume control, taking remote camera commands, tracking activity records, sleep patterns, weather forecasts, using flashlight and phone finder functions. It also offers heart rate monitoring, screen activation notifications, call management, alarms, data sync capabilities, time setting adjustments, display brightness control, and supports communication with connected iOS phones to receive notifications.\n\nDespite having some inconsistencies in terms of specific features or limitations (such as issues connecting to the CMF Watch app), the Watch Pro is predominantly an advanced smartwatch designed for daily use that tracks physical activities, measures blood oxygen levels, heart rate, among other health metrics. Its comprehensive functionality includes time setting options, display brightness adjustments, music control, call management, device pairing with a dedicated application and receiving notifications from connected iOS devices.\n\nIn summary, the Watch Pro is an all-around smartwatch providing multiple health monitoring capabilities including heart rate monitoring, blood oxygen level measurement, sleep tracking, activity and weather records, as well as offering remote functionalities like camera control, music play, flashlight usage, phone finder service. It can be paired with various applications for optimal performance and connects to iOS devices to receive notifications. While some models might face connectivity issues or problems updating via the CMF Watch app, its primary focus lies on delivering advanced wearable technology designed for daily use, health monitoring, and smart functionality.', 'source_id': 'chunk-c923c17927fa4e291cc287467061e0cf<SEP>chunk-bf93869f27e0db181fc1e8abda02b165<SEP>chunk-6a6dc70b538423eed2a153e23decae4c<SEP>chunk-852b3a0efad903b6a432ebd5e7a404af<SEP>chunk-2813ffd84d05996e288b7ae91da38439<SEP>chunk-ea57d11556bf408a29dc7c7e37398cc2<SEP>chunk-72fc3cd998dfb0b37a7905d75bf2fea8<SEP>chunk-1937bef2f48d7dfa41b98235ae13df22<SEP>chunk-fde4d61094019d5f75532f5f5f817f6a<SEP>chunk-6d88ccae3cdc762688c1e8d90c4e68c4<SEP>chunk-a93494f099711f42904d9b1378c73449<SEP>chunk-a20228c525a0011e08b219ab5989855a<SEP>chunk-76cdae3356bcf4004a71c8e11a80f300', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Watch Pro 2,chunk-2666978485c7758b69e3c834ba80fefe<SEP>chunk-1f6c1381dcd623ad5b2ea0b60f6ad95d<SEP>chunk-128e66067604ae44825d98ba3ed45122,"{'entity_id': 'Watch Pro 2', 'entity_type': 'organization', 'description': 'Smartwatch model with features like automatic brightness adjustment, health monitoring, and various fitness tracking functions.<SEP>The Watch Pro 2 is a smartwatch that supports various everyday tools, such as alarm, world clock, calendar, etc.<SEP>Watch Pro 2 is the name of a smartwatch model.', 'source_id': 'chunk-2666978485c7758b69e3c834ba80fefe<SEP>chunk-1f6c1381dcd623ad5b2ea0b60f6ad95d<SEP>chunk-128e66067604ae44825d98ba3ed45122', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Watch Pro compatibility,chunk-6a6dc70b538423eed2a153e23decae4c,"{'entity_id': 'Watch Pro compatibility', 'source_id': 'chunk-6a6dc70b538423eed2a153e23decae4c', 'description': 'The CMF Watch app provides enhanced features and connectivity with the Watch Pro, including camera control capabilities.', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Water and dust resistance,chunk-3a9c603ca72c28f9a9a34c1ddfef9b9c,"{'entity_id': 'Water and dust resistance', 'entity_type': 'product feature', 'description': 'Earbuds have IP54 water resistance, while the charging case has an even higher rating of IP55 for dust protection.', 'source_id': 'chunk-3a9c603ca72c28f9a9a34c1ddfef9b9c', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Water resistance,chunk-3a9c603ca72c28f9a9a34c1ddfef9b9c,"{'entity_id': 'Water resistance', 'entity_type': 'category', 'description': ""Ear (2)'s water resistance rating IP54 means it can withstand splashes of water but may not be suitable for full immersion."", 'source_id': 'chunk-3a9c603ca72c28f9a9a34c1ddfef9b9c', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Water/Dust Resistance,chunk-242b40fbdd789fce17cd5d53222cb91d,"{'entity_id': 'Water/Dust Resistance', 'source_id': 'chunk-242b40fbdd789fce17cd5d53222cb91d', 'description': 'Provides basic resistance against dust ingress and splashes', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Water/dust resistance,chunk-f443862ed6a46e95ac18dbc4e38f2090,"{'entity_id': 'Water/dust resistance', 'source_id': 'chunk-f443862ed6a46e95ac18dbc4e38f2090', 'description': ""Ear (open)'s water and dust resistance is rated IP54 under IEC standard 60529 but is not permanent due to potential decrease over time."", 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Wearing,chunk-026c9aac607d8ab10d1f5ae9d51556e9,"{'entity_id': 'Wearing', 'entity_type': 'action', 'description': ""The act of putting earbuds into one's ears to utilize their functions."", 'source_id': 'chunk-026c9aac607d8ab10d1f5ae9d51556e9', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Weather,chunk-128e66067604ae44825d98ba3ed45122,"{'entity_id': 'Weather', 'entity_type': 'category', 'description': 'Provides real-time weather information and forecasts based on GPS data.', 'source_id': 'chunk-128e66067604ae44825d98ba3ed45122', 'file_path': 'unknown_source', 'created_at': 1749262945}"
WhatsApp,chunk-a93494f099711f42904d9b1378c73449,"{'entity_id': 'WhatsApp', 'entity_type': 'organization', 'description': ""WhatsApp is a messaging app whose notifications might not be pushed to the watch if it's being used on the phone during conversations."", 'source_id': 'chunk-a93494f099711f42904d9b1378c73449', 'file_path': 'unknown_source', 'created_at': 1749262945}"
WiFi,chunk-a9ca0a66c298c31fec04cbfc30d7b98c<SEP>chunk-ff9ab0e6b0a19cc3df9b2e42e60f607f<SEP>chunk-946e2c39d383e3255fe1b3a1508733e8<SEP>chunk-f9ceda8e99b5757b3aaecad74209f71d,"{'entity_id': 'WiFi', 'entity_type': 'category', 'description': 'WiFi is a wireless technology used for communication between devices, in this case for screen-casting purposes.<SEP>Wireless Local Area Network technology for wireless internet access in devices.<SEP>Wireless internet technology allowing devices to connect to the internet without physical cables.<SEP>Wireless internet technology for connecting devices to the internet.', 'source_id': 'chunk-a9ca0a66c298c31fec04cbfc30d7b98c<SEP>chunk-ff9ab0e6b0a19cc3df9b2e42e60f607f<SEP>chunk-946e2c39d383e3255fe1b3a1508733e8<SEP>chunk-f9ceda8e99b5757b3aaecad74209f71d', 'file_path': 'unknown_source', 'created_at': 1749262937}"
WiFi 6 Support,chunk-3060d71588cf955b2b239dbba0bd791d,"{'entity_id': 'WiFi 6 Support', 'entity_type': 'category', 'description': 'WiFi 6 support means compatibility with the latest wireless networking standard.', 'source_id': 'chunk-3060d71588cf955b2b239dbba0bd791d', 'file_path': 'unknown_source', 'created_at': 1749262945}"
WiFi Direct,chunk-8b7b5b1eb951ce536bdbb599b623332a<SEP>chunk-e8ab8b542ad8bdfa536d2314963d9701<SEP>chunk-258395120725348800696992422fd798,"{'entity_id': 'WiFi Direct', 'entity_type': 'category', 'description': ""WiFi Direct allows devices to connect and share files directly through WiFi at improved speed beyond Bluetooth capabilities.<SEP>WiFi Direct enables devices to connect and share files directly over WiFi, beyond Bluetooth capabilities.<SEP>WiFi Direct is technology allowing devices to connect directly via WiFi beyond Bluetooth's capabilities, with common uses in file sharing and screen casting."", 'source_id': 'chunk-8b7b5b1eb951ce536bdbb599b623332a<SEP>chunk-e8ab8b542ad8bdfa536d2314963d9701<SEP>chunk-258395120725348800696992422fd798', 'file_path': 'unknown_source', 'created_at': 1749262945}"
WiFi Hotspot,chunk-ffe8e5cdde2af69f64b8ce3b5c683676,"{'entity_id': 'WiFi Hotspot', 'entity_type': 'event', 'description': 'The creation of an ad-hoc Wi-Fi network that allows multiple devices to connect to it.', 'source_id': 'chunk-ffe8e5cdde2af69f64b8ce3b5c683676', 'file_path': 'unknown_source', 'created_at': 1749262945}"
WiFi connection,chunk-6165e1e8378c1118b98626013d6262b7,"{'entity_id': 'WiFi connection', 'entity_type': 'technology', 'description': 'Wireless network technology allowing devices to connect without cables.', 'source_id': 'chunk-6165e1e8378c1118b98626013d6262b7', 'file_path': 'unknown_source', 'created_at': 1749262941}"
Widget Customization,chunk-b1d82ee9e80b9a4011cc5dfdad909fc2,"{'entity_id': 'Widget Customization', 'source_id': 'chunk-b1d82ee9e80b9a4011cc5dfdad909fc2', 'description': 'The process of creating personalized interface elements that can be added to smartphone screens such as home screen widgets for the Nothing Phone.', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Wired Charger,chunk-1bd5bdbf50fdf619063eece8e9e67241,"{'entity_id': 'Wired Charger', 'entity_type': 'equipment', 'description': 'Other brands of wired chargers can be used for charging Nothing Phone. It is recommended to use a PPS protocol charger for optimum charging experience.', 'source_id': 'chunk-1bd5bdbf50fdf619063eece8e9e67241', 'file_path': 'unknown_source', 'created_at': 1749262941}"
Wired Charging,chunk-9dbf1c133d4ea12599adde2c8babfb03,"{'entity_id': 'Wired Charging', 'entity_type': 'category', 'description': 'Wired Charging refers to the method of charging electronic devices using a physical cable connected to an electrical outlet, which provides power directly to the device.', 'source_id': 'chunk-9dbf1c133d4ea12599adde2c8babfb03', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Wireless Casting Feature,chunk-43c5f3a3b39a02f332e40eef921a1f87,"{'entity_id': 'Wireless Casting Feature', 'source_id': 'chunk-43c5f3a3b39a02f332e40eef921a1f87', 'description': 'Users can utilize wireless casting feature for content display transfer to another device through appropriate setup and WiFi connection', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Wireless Charging,chunk-1bd5bdbf50fdf619063eece8e9e67241,"{'entity_id': 'Wireless Charging', 'entity_type': 'category', 'description': ""Nothing Phone doesn't support wireless charging, which means it can only be charged using a wired charger."", 'source_id': 'chunk-1bd5bdbf50fdf619063eece8e9e67241', 'file_path': 'unknown_source', 'created_at': 1749262941}"
Wireless audio compatibility,chunk-c8e8ce97e9623a3206989beb9bb64519,"{'entity_id': 'Wireless audio compatibility', 'source_id': 'chunk-c8e8ce97e9623a3206989beb9bb64519', 'description': 'Adheres.', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Wireless audio innovations,chunk-c8e8ce97e9623a3206989beb9bb64519,"{'entity_id': 'Wireless audio innovations', 'source_id': 'chunk-c8e8ce97e9623a3206989beb9bb64519', 'description': 'Reflects.', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Wireless charging,chunk-c8e8ce97e9623a3206989beb9bb64519,"{'entity_id': 'Wireless charging', 'source_id': 'chunk-c8e8ce97e9623a3206989beb9bb64519', 'description': 'Does not support.', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Wireless network,chunk-7c7e41b65ef7bcc80c8f1decc9bf2928<SEP>chunk-3ce2dd4dcddbe486368b957aabc2e335,"{'entity_id': 'Wireless network', 'entity_type': 'category', 'description': 'Network infrastructure designed for radio communication between devices over unobstructed lines of sight or through wireless repeaters.<SEP>Wireless network includes Wi-Fi and cellular networks providing wireless data transfer.', 'source_id': 'chunk-7c7e41b65ef7bcc80c8f1decc9bf2928<SEP>chunk-3ce2dd4dcddbe486368b957aabc2e335', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Women's Health Data App,chunk-2666978485c7758b69e3c834ba80fefe,"{'entity_id': ""Women's Health Data App"", 'entity_type': 'organization', 'description': 'App designed for managing and displaying menstrual health information, including period tracking, ovulation prediction, and fertility days.', 'source_id': 'chunk-2666978485c7758b69e3c834ba80fefe', 'file_path': 'unknown_source', 'created_at': 1749262945}"
World Athletics Championship,chunk-aecf49d9e86fc2b3fbfb0f065b82e03e<SEP>chunk-de2595701f68717f24b26c16e73fef62<SEP>chunk-b1d82ee9e80b9a4011cc5dfdad909fc2<SEP>chunk-136bde614c09969c0d7fb82cc253fd47<SEP>chunk-54f0e791bf9a53157a462f57f05674eb<SEP>chunk-fec2c3e80ab69404ff0b23b014c07483<SEP>chunk-8238a048f616eaf02f92d0455ae0f39b<SEP>chunk-59d089d6dd16ac59cfa0d577b293a12e<SEP>chunk-c8e8ce97e9623a3206989beb9bb64519<SEP>chunk-ea3750d302ca3a5f45590d544e79cdaf<SEP>chunk-01cde718609da4920ebfa164616b8d87<SEP>chunk-b6a5e79a49bc7db2a612f28136aee41c<SEP>chunk-b31736155d9fcbf91049d0a9e73805dc<SEP>chunk-39d4901014b867cda8bfaf59458315b9<SEP>chunk-77d37b7781a21f9ace596c3bcb0cbfd0<SEP>chunk-8dbcfd0ba7e5f79063be82c76153444e<SEP>chunk-3de9a6eca983da6478af176236f5152b<SEP>chunk-c9025d462a4f9ed5f5840d5850b11449<SEP>chunk-92e27c35cbd2d81e7710bdeb957abdb9<SEP>chunk-8a9c21c16874759496064e1fb0d09cef<SEP>chunk-65f13477800edffaf85ef49b0eb80982<SEP>chunk-ea4524a05ac17de1be9923e9a9dc9c59<SEP>chunk-fcacac32b6b6cffea40cb0a17d301d61<SEP>chunk-124df9689f92596c4fbc5e0e680893f1<SEP>chunk-ecb83fc961a06d6a2e205ffa27cd9700<SEP>chunk-1f73d28d893bcd51ecb5c4b3b1f54870,"{'entity_id': 'World Athletics Championship', 'entity_type': 'event', 'description': 'The World Athletics Championship is an annual, global sports competition that primarily showcases athletes in track and field events from around the world. This event features top performers competing in various disciplines within the sport, with international recognition and records being set during this prestigious international athletics competition. Tokyo served as the host city for a specific instance of this championship. As part of its comprehensive nature, the World Athletics Championship includes diverse aspects of track and field activities, attracting elite athletes who compete to establish new standards and break existing records in events such as the 100m sprint among others.', 'source_id': 'chunk-aecf49d9e86fc2b3fbfb0f065b82e03e<SEP>chunk-de2595701f68717f24b26c16e73fef62<SEP>chunk-b1d82ee9e80b9a4011cc5dfdad909fc2<SEP>chunk-136bde614c09969c0d7fb82cc253fd47<SEP>chunk-54f0e791bf9a53157a462f57f05674eb<SEP>chunk-fec2c3e80ab69404ff0b23b014c07483<SEP>chunk-8238a048f616eaf02f92d0455ae0f39b<SEP>chunk-59d089d6dd16ac59cfa0d577b293a12e<SEP>chunk-c8e8ce97e9623a3206989beb9bb64519<SEP>chunk-ea3750d302ca3a5f45590d544e79cdaf<SEP>chunk-01cde718609da4920ebfa164616b8d87<SEP>chunk-b6a5e79a49bc7db2a612f28136aee41c<SEP>chunk-b31736155d9fcbf91049d0a9e73805dc<SEP>chunk-39d4901014b867cda8bfaf59458315b9<SEP>chunk-77d37b7781a21f9ace596c3bcb0cbfd0<SEP>chunk-8dbcfd0ba7e5f79063be82c76153444e<SEP>chunk-3de9a6eca983da6478af176236f5152b<SEP>chunk-c9025d462a4f9ed5f5840d5850b11449<SEP>chunk-92e27c35cbd2d81e7710bdeb957abdb9<SEP>chunk-8a9c21c16874759496064e1fb0d09cef<SEP>chunk-65f13477800edffaf85ef49b0eb80982<SEP>chunk-ea4524a05ac17de1be9923e9a9dc9c59<SEP>chunk-fcacac32b6b6cffea40cb0a17d301d61<SEP>chunk-124df9689f92596c4fbc5e0e680893f1<SEP>chunk-ecb83fc961a06d6a2e205ffa27cd9700<SEP>chunk-1f73d28d893bcd51ecb5c4b3b1f54870', 'file_path': 'unknown_source', 'created_at': 1749262937}"
World Athletics Federation,chunk-8dbcfd0ba7e5f79063be82c76153444e<SEP>chunk-ea4524a05ac17de1be9923e9a9dc9c59<SEP>chunk-136bde614c09969c0d7fb82cc253fd47<SEP>chunk-01cde718609da4920ebfa164616b8d87<SEP>chunk-fec2c3e80ab69404ff0b23b014c07483<SEP>chunk-c9025d462a4f9ed5f5840d5850b11449<SEP>chunk-92e27c35cbd2d81e7710bdeb957abdb9<SEP>chunk-39d4901014b867cda8bfaf59458315b9<SEP>chunk-8238a048f616eaf02f92d0455ae0f39b,"{'entity_id': 'World Athletics Federation', 'entity_type': 'organization', 'description': 'The World Athletics Federation (WAF) is an international governing body that oversees global track and field events, manages the organization of various athletics competitions such as the World Athletics Championship, and validates athletic records across different disciplines, including the renowned 100m sprint record among others. It acts as a recognized authority in certifying new world records in athletics, ensuring standardized procedures for competition organization and ensuring the legitimacy of performance benchmarks against universally accepted standards.', 'source_id': 'chunk-8dbcfd0ba7e5f79063be82c76153444e<SEP>chunk-ea4524a05ac17de1be9923e9a9dc9c59<SEP>chunk-136bde614c09969c0d7fb82cc253fd47<SEP>chunk-01cde718609da4920ebfa164616b8d87<SEP>chunk-fec2c3e80ab69404ff0b23b014c07483<SEP>chunk-c9025d462a4f9ed5f5840d5850b11449<SEP>chunk-92e27c35cbd2d81e7710bdeb957abdb9<SEP>chunk-39d4901014b867cda8bfaf59458315b9<SEP>chunk-8238a048f616eaf02f92d0455ae0f39b', 'file_path': 'unknown_source', 'created_at': 1749262937}"
World Clock,chunk-1f6c1381dcd623ad5b2ea0b60f6ad95d<SEP>chunk-128e66067604ae44825d98ba3ed45122,"{'entity_id': 'World Clock', 'entity_type': 'location', 'description': 'A feature on the Watch Pro 2 that displays time in various global regions.<SEP>A feature within CMF Watch app that allows users to view current times in different regions around the world', 'source_id': 'chunk-1f6c1381dcd623ad5b2ea0b60f6ad95d<SEP>chunk-128e66067604ae44825d98ba3ed45122', 'file_path': 'unknown_source', 'created_at': 1749262945}"
World Wide Web,chunk-5d866982ab2e7ced6661f8a940789dee,"{'entity_id': 'World Wide Web', 'entity_type': 'category', 'description': 'The World Wide Web (WWW) developed by Tim Berners-Lee enables users to access data from various sources using web browsers.', 'source_id': 'chunk-5d866982ab2e7ced6661f8a940789dee', 'file_path': 'unknown_source', 'created_at': 1749262945}"
World clock,chunk-128e66067604ae44825d98ba3ed45122,"{'entity_id': 'World clock', 'entity_type': 'category', 'description': 'The World clock function on the Watch Pro 2 displays time in multiple zones around the world.', 'source_id': 'chunk-128e66067604ae44825d98ba3ed45122', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Yoga,chunk-b31736155d9fcbf91049d0a9e73805dc,"{'entity_id': 'Yoga', 'entity_type': 'activity', 'description': 'Yoga involves physical postures, breathing techniques, and meditation for stress relief and flexibility.', 'source_id': 'chunk-b31736155d9fcbf91049d0a9e73805dc', 'file_path': 'unknown_source', 'created_at': 1749262945}"
accessibility,chunk-f9ceda8e99b5757b3aaecad74209f71d,"{'entity_id': 'accessibility', 'source_id': 'chunk-f9ceda8e99b5757b3aaecad74209f71d', 'description': 'Using the Essential Key enables users to take screenshots quickly and conveniently.', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
adaptor,chunk-8a9c21c16874759496064e1fb0d09cef,"{'entity_id': 'adaptor', 'entity_type': 'organization', 'description': 'The adaptor is a product that converts electrical energy and has undergone rigorous safety tests.', 'source_id': 'chunk-8a9c21c16874759496064e1fb0d09cef', 'file_path': 'unknown_source', 'created_at': 1749262945}"
add icon,chunk-8cd614c63bd30923f007ff94a3e7a5d9,"{'entity_id': 'add icon', 'entity_type': 'category', 'description': 'A graphical symbol or button used to create new items, like alarms, within an application interface.', 'source_id': 'chunk-8cd614c63bd30923f007ff94a3e7a5d9', 'file_path': 'unknown_source', 'created_at': 1749262945}"
add icon in the upper right corner and go to Settings,chunk-8cd614c63bd30923f007ff94a3e7a5d9,"{'entity_id': 'add icon in the upper right corner and go to Settings', 'entity_type': 'event', 'description': ""Navigating through settings by selecting an additional menu option or button located near the interface's top."", 'source_id': 'chunk-8cd614c63bd30923f007ff94a3e7a5d9', 'file_path': 'unknown_source', 'created_at': 1749262945}"
additional features,chunk-128e66067604ae44825d98ba3ed45122,"{'entity_id': 'additional features', 'source_id': 'chunk-128e66067604ae44825d98ba3ed45122', 'description': 'The CMF Watch app provides additional settings and functionalities for the Watch Pro 2 users.', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
alarm,chunk-59d089d6dd16ac59cfa0d577b293a12e,"{'entity_id': 'alarm', 'entity_type': 'category', 'description': 'Alarm is a reminder notification that can be set at specific times to wake up or notify users of important events.', 'source_id': 'chunk-59d089d6dd16ac59cfa0d577b293a12e', 'file_path': 'unknown_source', 'created_at': 1749262937}"
app pinning,chunk-ffe8e5cdde2af69f64b8ce3b5c683676,"{'entity_id': 'app pinning', 'entity_type': 'category', 'description': ""Functionality enabling a user to keep an app visible on the home screen until it's un-pinned."", 'source_id': 'chunk-ffe8e5cdde2af69f64b8ce3b5c683676', 'file_path': 'unknown_source', 'created_at': 1749262945}"
app to auto-start,chunk-06e37afdf610d89a09df8901349a725e,"{'entity_id': 'app to auto-start', 'entity_type': 'category', 'description': 'Category describing application functionality for automatic startup.', 'source_id': 'chunk-06e37afdf610d89a09df8901349a725e', 'file_path': 'unknown_source', 'created_at': 1749262937}"
attachment icon,chunk-3ce2dd4dcddbe486368b957aabc2e335,"{'entity_id': 'attachment icon', 'entity_type': 'category', 'description': 'The attachment icon in the SMS app allows users to send multimedia content such as images.', 'source_id': 'chunk-3ce2dd4dcddbe486368b957aabc2e335', 'file_path': 'unknown_source', 'created_at': 1749262945}"
audio,chunk-dbdc3aa884ec77acb84402d00879691d<SEP>chunk-716596cbb2a7e8b3702d6ceb7f52724e,"{'entity_id': 'audio', 'entity_type': 'category', 'description': 'Audio includes music, video playback, or calls.<SEP>Audio refers to sound output from speakers, headphones, or other devices.', 'source_id': 'chunk-dbdc3aa884ec77acb84402d00879691d<SEP>chunk-716596cbb2a7e8b3702d6ceb7f52724e', 'file_path': 'unknown_source', 'created_at': 1749262945}"
audio output,chunk-dbdc3aa884ec77acb84402d00879691d,"{'entity_id': 'audio output', 'entity_type': 'category', 'description': 'Audio output refers to the process of transmitting sound from a device to another medium such as speakers or headphones.', 'source_id': 'chunk-dbdc3aa884ec77acb84402d00879691d', 'file_path': 'unknown_source', 'created_at': 1749262945}"
availability,chunk-f9ceda8e99b5757b3aaecad74209f71d,"{'entity_id': 'availability', 'source_id': 'chunk-f9ceda8e99b5757b3aaecad74209f71d', 'description': 'The phone does not support wireless charging features.', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
availability in Japan,chunk-f9ceda8e99b5757b3aaecad74209f71d,"{'entity_id': 'availability in Japan', 'source_id': 'chunk-f9ceda8e99b5757b3aaecad74209f71d', 'description': 'Specifying that eSIM support is available in a certain location implies regional availability for specific models or services.', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
